Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,31.0,1.0,31.0,31.0,0.1,22.00800000000001,0.0,0.0,0.0055048465728759766,,,,,,,,,,,,,,,,,,,,,8.813021703424106,7.63038589119659,21.778331211285213,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,125.0,2.0,94.0,125.0,0.1,66.02700000000007,0.0,0.0,8.380164384841919,,,,,,,,,,,,,,,,,,,,,30.22006670994254,18.417334312224874,63.31287616872668,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,218.0,3.0,93.0,218.0,0.1,55.03700000000001,0.0,0.0,16.812171936035156,,,,,,,,,,,,,,,,,,,,,24.255942809733263,14.384181817388706,52.88691826831317,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,252.0,4.0,34.0,252.0,0.1,24.00900000000001,0.0,0.0,20.100831747055054,,,,,,,,,,,,,,,,,,,,,9.461205194179666,8.295582387194973,23.734764818269618,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,308.0,5.0,56.0,308.0,0.1,46.00899999999998,0.0,0.0,25.243025541305542,,,,,,,,,,,,,,,,,,,,,19.827734176308642,14.893592767304026,44.98857905565898,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,355.0,6.0,47.0,355.0,0.1,35.010999999999974,0.0,0.0,29.644806623458862,,,,,,,,,,,,,,,,,,,,,13.994642823106465,11.78243593826496,34.42206148822897,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,429.0,7.0,74.0,429.0,0.1,33.03999999999991,0.0,0.0,36.60966753959656,,,,,,,,,,,,,,,,,,,,,7.96793518023616,10.79971374096281,32.51537102333817,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,465.0,8.0,36.0,465.0,0.1,27.00800000000001,0.0,0.0,40.06160593032837,,,,,,,,,,,,,,,,,,,,,11.156265519365627,9.17454302838589,26.659667115867467,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,525.0,9.0,60.0,525.0,0.1,52.006999999999984,0.0,0.0,45.541664123535156,,,,,,,,,,,,,,,,,,,,,23.431618849798394,16.362410335840703,50.70245708071646,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,566.0,10.0,41.0,566.0,0.1,33.006999999999984,0.0,0.0,49.39800143241882,,,,,,,,,,,,,,,,,,,,,14.335808805659157,10.893917909679109,32.48416769018065,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,606.0,11.0,40.0,606.0,0.1,29.010000000000012,0.0,0.0,53.2215793132782,,,,,,,,,,,,,,,,,,,,,11.497130001297815,9.892464917417279,28.607300794235773,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,664.0,12.0,58.0,664.0,0.1,49.00799999999998,0.0,0.0,58.732054710388184,,,,,,,,,,,,,,,,,,,,,21.61805323154857,15.643994795263302,47.84980467210974,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,715.0,13.0,51.0,715.0,0.1,37.01299999999997,0.0,0.0,63.47104811668396,,,,,,,,,,,,,,,,,,,,,14.343429489374092,12.48548703315407,36.35415705599686,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,804.0,14.0,89.0,804.0,0.1,80.00800000000004,0.0,0.0,71.37735962867737,,,,,,,,,,,,,,,,,,,,,36.33503360443032,24.259277348615797,76.92796100325123,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,840.0,15.0,36.0,840.0,0.1,29.006000000000007,0.0,0.0,74.84011769294739,,,,,,,,,,,,,,,,,,,,,12.770390420507061,9.613695843697267,28.60344422987728,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,917.0,16.0,77.0,917.0,0.1,69.00700000000003,0.0,0.0,82.01927757263184,,,,,,,,,,,,,,,,,,,,,31.536406270153588,21.08857201609258,66.71205411337081,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,1017.0,17.0,100.0,1017.0,0.1,60.03899999999991,0.0,0.0,90.98080825805664,,,,,,,,,,,,,,,,,,,,,26.90728254816618,14.811606955749586,57.463140563169155,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,1109.0,18.0,92.0,1109.0,0.1,79.01200000000006,0.0,0.0,99.14537262916565,,,,,,,,,,,,,,,,,,,,,34.30775243017387,24.574036977902608,76.00762602083968,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,1152.0,19.0,43.0,1152.0,0.1,34.00799999999998,0.0,0.0,103.18891167640686,,,,,,,,,,,,,,,,,,,,,14.47043028115209,11.280649902245063,33.452643331931,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,1212.0,20.0,60.0,1212.0,0.1,51.00799999999998,0.0,0.0,108.87536883354187,,,,,,,,,,,,,,,,,,,,,22.571727335034083,16.214075116053902,49.753152912570194,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,63.0,1.0,63.0,1275.0,0.1,51.010999999999974,0.0,0.0,225.6473903656006,,,,,,,,,,,,,,,,,,,,,21.499747269316597,16.537335708404775,49.75597812229954,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,215.0,2.0,152.0,1427.0,0.1,131.0200000000001,0.0,0.0,239.0076298713684,,,,,,,,,,,,,,,,,,,,,57.584432699208755,36.7334250412788,122.5120678533592,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,316.0,3.0,101.0,1528.0,0.1,93.00700000000003,0.0,0.0,247.97103309631348,,,,,,,,,,,,,,,,,,,,,42.865002166416396,27.5685219457705,88.85525643881316,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
